id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
356;searchpage;requests;1598066243.619264;-1.0665762424468994;https://www.jobindex.dk/jobsoegning?lang=da?page=339.html;https://www.jobindex.dk/jobsoegning?lang=da?page=339.html;223722;200;True;
357;searchpage;requests;1598066245.3451102;-2.0371291637420654;https://www.jobindex.dk/jobsoegning?lang=da?page=340.html;https://www.jobindex.dk/jobsoegning?lang=da?page=340.html;223722;200;True;
358;searchpage;requests;1598066248.0853012;-1.7896134853363037;https://www.jobindex.dk/jobsoegning?lang=da?page=341.html;https://www.jobindex.dk/jobsoegning?lang=da?page=341.html;223722;200;True;
359;searchpage;requests;1598066250.539285;-0.9267253875732422;https://www.jobindex.dk/jobsoegning?lang=da?page=342.html;https://www.jobindex.dk/jobsoegning?lang=da?page=342.html;223722;200;True;
360;searchpage;requests;1598066252.1690235;-1.0704329013824463;https://www.jobindex.dk/jobsoegning?lang=da?page=343.html;https://www.jobindex.dk/jobsoegning?lang=da?page=343.html;223722;200;True;
361;searchpage;requests;1598066253.8386483;-1.1145110130310059;https://www.jobindex.dk/jobsoegning?lang=da?page=344.html;https://www.jobindex.dk/jobsoegning?lang=da?page=344.html;223722;200;True;
362;searchpage;requests;1598066255.6165795;-1.0992553234100342;https://www.jobindex.dk/jobsoegning?lang=da?page=345.html;https://www.jobindex.dk/jobsoegning?lang=da?page=345.html;223722;200;True;
363;searchpage;requests;1598066257.410235;-1.5659027099609375;https://www.jobindex.dk/jobsoegning?lang=da?page=346.html;https://www.jobindex.dk/jobsoegning?lang=da?page=346.html;223722;200;True;
364;searchpage;requests;1598066259.591121;-1.0467848777770996;https://www.jobindex.dk/jobsoegning?lang=da?page=347.html;https://www.jobindex.dk/jobsoegning?lang=da?page=347.html;223722;200;True;
365;searchpage;requests;1598066261.2458224;-1.206357479095459;https://www.jobindex.dk/jobsoegning?lang=da?page=348.html;https://www.jobindex.dk/jobsoegning?lang=da?page=348.html;223722;200;True;
366;searchpage;requests;1598066263.0624855;-1.1225056648254395;https://www.jobindex.dk/jobsoegning?lang=da?page=349.html;https://www.jobindex.dk/jobsoegning?lang=da?page=349.html;223722;200;True;
367;searchpage;requests;1598066264.7803452;-1.227121353149414;https://www.jobindex.dk/jobsoegning?lang=da?page=350.html;https://www.jobindex.dk/jobsoegning?lang=da?page=350.html;223723;200;True;
368;searchpage;requests;1598066266.6217642;-0.9906454086303711;https://www.jobindex.dk/jobsoegning?lang=da?page=351.html;https://www.jobindex.dk/jobsoegning?lang=da?page=351.html;223722;200;True;
369;searchpage;requests;1598066268.3035238;-1.107055425643921;https://www.jobindex.dk/jobsoegning?lang=da?page=352.html;https://www.jobindex.dk/jobsoegning?lang=da?page=352.html;223722;200;True;
370;searchpage;requests;1598066270.0331755;-0.9907128810882568;https://www.jobindex.dk/jobsoegning?lang=da?page=353.html;https://www.jobindex.dk/jobsoegning?lang=da?page=353.html;223723;200;True;
371;searchpage;requests;1598066271.6351871;-1.0624322891235352;https://www.jobindex.dk/jobsoegning?lang=da?page=354.html;https://www.jobindex.dk/jobsoegning?lang=da?page=354.html;223723;200;True;
372;searchpage;requests;1598066273.3287747;-0.9988722801208496;https://www.jobindex.dk/jobsoegning?lang=da?page=355.html;https://www.jobindex.dk/jobsoegning?lang=da?page=355.html;223722;200;True;
373;searchpage;requests;1598066274.927555;-1.034674882888794;https://www.jobindex.dk/jobsoegning?lang=da?page=356.html;https://www.jobindex.dk/jobsoegning?lang=da?page=356.html;223722;200;True;
374;searchpage;requests;1598066276.65329;-1.59047269821167;https://www.jobindex.dk/jobsoegning?lang=da?page=357.html;https://www.jobindex.dk/jobsoegning?lang=da?page=357.html;223723;200;True;
375;searchpage;requests;1598066278.8501637;-1.195340633392334;https://www.jobindex.dk/jobsoegning?lang=da?page=358.html;https://www.jobindex.dk/jobsoegning?lang=da?page=358.html;223722;200;True;
376;searchpage;requests;1598066280.6517603;-0.9870803356170654;https://www.jobindex.dk/jobsoegning?lang=da?page=359.html;https://www.jobindex.dk/jobsoegning?lang=da?page=359.html;223722;200;True;
377;searchpage;requests;1598066282.250924;-1.0705692768096924;https://www.jobindex.dk/jobsoegning?lang=da?page=360.html;https://www.jobindex.dk/jobsoegning?lang=da?page=360.html;223722;200;True;
378;searchpage;requests;1598066283.9815395;-1.113699197769165;https://www.jobindex.dk/jobsoegning?lang=da?page=361.html;https://www.jobindex.dk/jobsoegning?lang=da?page=361.html;223722;200;True;
379;searchpage;requests;1598066285.786404;-1.6538491249084473;https://www.jobindex.dk/jobsoegning?lang=da?page=362.html;https://www.jobindex.dk/jobsoegning?lang=da?page=362.html;223722;200;True;
380;searchpage;requests;1598066288.0833898;-1.2904362678527832;https://www.jobindex.dk/jobsoegning?lang=da?page=363.html;https://www.jobindex.dk/jobsoegning?lang=da?page=363.html;223722;200;True;
381;searchpage;requests;1598066289.9809356;-1.342125415802002;https://www.jobindex.dk/jobsoegning?lang=da?page=364.html;https://www.jobindex.dk/jobsoegning?lang=da?page=364.html;223722;200;True;
382;searchpage;requests;1598066291.9302838;-1.0066261291503906;https://www.jobindex.dk/jobsoegning?lang=da?page=365.html;https://www.jobindex.dk/jobsoegning?lang=da?page=365.html;223722;200;True;
383;searchpage;requests;1598066293.5442588;-1.018481731414795;https://www.jobindex.dk/jobsoegning?lang=da?page=366.html;https://www.jobindex.dk/jobsoegning?lang=da?page=366.html;223722;200;True;
