"70;""141"";3;Ledelse af hovedaktiviteten inden for hoteller og restauration;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71;""1411"";4;Ledelse af hovedaktiviteten af hoteller;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72;""141100"";5;""Ledelse af hovedaktiviteten af hoteller "";;Gæstgiver", Hotelbestyrer, Hotelchef, Hoteldirektør, Ledelse af hovedaktiviteten af hoteller;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"73;""1412"";4;Ledelse af hovedaktiviteten inden for restauration;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"74;""141200"";5;Ledelse af hovedaktiviteten inden for restauration;;Restaurationsbestyrer", Restaurationschef, Restaurationsforpagter, Restaurationsleder, Restaurationsmanager, Restauratør, Ledelse af hovedaktiviteten inden for restauration;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75;""142"";3;Ledelse af hovedaktiviteten inden for detail- og engroshandel;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"76;""1420"";4;Ledelse af hovedaktiviteten inden for detail- og engroshandel;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"77;""142010"";5;Ledelse af hovedaktiviteten inden for detailhandel;;Varehuschef", Vin og tobakshandler, Ledelse af hovedaktiviteten inden for detailhandel;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"78;""142020"";5;Ledelse af hovedaktiviteten inden for engroshandel;;Engroschef", Ledelse af hovedaktiviteten inden for engroshandel;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"79;""143"";3;Ledelse af hovedaktiviteten inden for andre serviceområder;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"80;""1431"";4;Ledelse af hovedaktiviteten inden for sport", forlystelse og kultur;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"81;""143100"";5;Ledelse af hovedaktiviteten inden for sport", forlystelse og kultur;;Museumsbestyrer, Museumsdirektør, Museumsforstander, Museumsleder, Parkchef, Radioleder, Radiostationsleder, Teateradministrator, Teaterchef, Teaterdirektør, Teaterleder, TV producer, Ledelse af hovedaktiviteten inden for sport, forlystelse og kultur;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"82;""1439"";4;Ledelse af hovedaktiviteten inden for andre serviceområder;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"83;""143900"";5;Ledelse af hovedaktiviteten inden for andre serviceområder;;Ledelse af hovedaktiviteten inden for andre serviceområder;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"84;""2"";1;Arbejde", der forudsætter viden på højeste niveau inden for pågældende område;Arbejde der består i anvendelse af viden og/eller forskning på det højeste niveau inden for et bestemt fagområde. Det være sig såvel inden for undervisning og pædagogik, IT-arbejde samt kunstnerisk eller anden intellektuel udfoldelse på højt niveau. Som eksempler kan nævnes ingeniører, læger, akademikere, arkitekter, advokater, lærere, pædagoger, sygeplejersker, terapeuter og journalister.;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"85;""21"";2;Arbejde inden for naturvidenskab og ingeniørvirksomhed;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"86;""211"";3;Arbejde inden for fysik og geologi;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87;""2111"";4;Arbejde inden for fysik og astronomi;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"88;""211100"";5;Arbejde inden for fysik og astronomi;;Astronom", Fysiker, Kosmolog, Arbejde inden for fysik og astronomi;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"89;""2112"";4;Arbejde inden for meteorologi;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90;""211200"";5;Arbejde inden for meteorologi;;Klimatolog", Meteorolog, Overmeteorolog, Statsmeteorolog, Arbejde inden for meteorologi;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"91;""2113"";4;Arbejde inden for kemi;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"92;""211300"";5;Arbejde inden for kemi;;Kemiker", Proceskemiker, Arbejde inden for kemi;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93;""2114"";4;Arbejde inden for geologi og geofysik;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94;""211400"";5;Arbejde inden for geologi og geofysik;;Chefgeodæt", Geodæt, Geofysiker, Geolog, Grundvandshydrolog, Hydrolog, Mikropalæont, Naturgaskonsulent, Oceanograf, Statsgeodæt, Statsgeolog, Arbejde inden for geologi og geofysik;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"95;""212"";3;Arbejde med matematiske", aktuariske og statistiske metoder og teorier;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"96;""2120"";4;Arbejde med matematiske", aktuariske og statistiske metoder og teorier;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97;""212000"";5;Arbejde med matematiske", aktuariske og statistiske metoder og teorier;;Aktuar, Chefaktuar, Chefstatistiker, Forsikringsmatematiker, Matematiker, Statistiker, Arbejde med matematiske, aktuariske og statistiske metoder og teorier;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"98;""213"";3;Arbejde inden for biovidenskab;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99;""2131"";4;Arbejde inden for biokemi", biologi, botanik, zoologi og beslægtede områder;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100;""213110"";5;Arbejde inden for biokemi;;Biokemiker", Mikrokemiker, Arbejde inden for biokemi;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101;""213120"";5;Arbejde inden for biologi", botanik, zoologi og beslægtede områder;;Biolog, Botaniker, Fiskeribiolog, Fiskerikonsulent, Havbiolog, Marinebiolog, Mikrobiolog, Ornitolog, Statsbiolog, Vildtforvalter, Zoolog, Økolog, Arbejde inden for biologi, botanik, zoologi og beslægtede områder;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102;""2132"";4;Rådgivning inden for landbrug", skovbrug og fiskeri;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
